,title,address,price,price_m2,area_m2,rooms,floor,outdoors,parking,market,build_yr,building_type,elevator,heating_type
16,Mieszkanie - Gdynia Dąbrowa,"Gdynia, Dąbrowa, Sojowa",369 000 zł,8 892 zł/m²,"41,5",2,"Piętro
3/3",zapytaj,zapytaj,wtórny,brak,brak,nie,zapytaj
17,Konkurs na sprzedaż prawa do lokalu mieszkalnego,"Gdynia, Działki Leśne",347 000 zł,9 060 zł/m²,"38,3",2,"Piętro
zapytaj",zapytaj,zapytaj,wtórny,brak,brak,nie,zapytaj
18,Okazja! 61m2 Karwiny 3pokoje do zamieszkania!,"Gdynia, Karwiny, Krzysztofa Kamila Baczyńskiego",459 000 zł,7 516 zł/m²,"61,07",3,"Piętro
3/4",balkon,zapytaj,wtórny,1988,blok,nie,miejskie
19,Eleganckie apartament w Śródmieściu (4 pok./ 92m2),"Gdynia, Śródmieście, Antoniego Abrahama",1 950 000 zł,21 196 zł/m²,92,4,"Piętro
3/6",balkon,garaż/miejsce parkingowe,wtórny,1938,kamienica,tak,miejskie
20,Elegancki apartament w Gdyni Orłowie,"Gdynia, Orłowo, Bernadowska",1 799 000 zł,24 644 zł/m²,73,3,"Piętro
1/2","balkon, taras",garaż/miejsce parkingowe,wtórny,2017,apartamentowiec,tak,miejskie
21,"Apartament z 85 M tarasem, 4 pokoje","Gdynia, Działki Leśne, Pomorska",1 740 000 zł,17 755 zł/m²,98,4,"Piętro
3/3",taras,garaż/miejsce parkingowe,wtórny,2021,apartamentowiec,tak,miejskie
22,Apartament z widokiem na morze i tarasem 30m2,"Gdynia, Orłowo, Świerkowa",1 700 000 zł,22 078 zł/m²,77,2,"Piętro
5/5",balkon,garaż/miejsce parkingowe,wtórny,2010,apartamentowiec,tak,inne
23,Dwa niezależne mieszkania inwestycyjne,"Gdynia, Redłowo, Dywizji Kościuszkowskiej",1 595 000 zł,18 765 zł/m²,85,4,"Piętro
parter/2","ogródek, taras",garaż/miejsce parkingowe,wtórny,1954,kamienica,nie,gazowe
24,"Słoneczna i przytulna kawalerka, blisko Morza","Gdynia, Redłowo, Powstania Śląskiego",389 000 zł,15 136 zł/m²,"25,7",1,"Piętro
4/4",zapytaj,zapytaj,wtórny,1969,blok,nie,miejskie
25,Nowe Mieszkanie Gdynia ul. Mała 19BM2,"ul. Mała, Gdynia, pomorskie",Zapytaj o cenę,,"159,05",5,"Piętro
1",balkon,garaż/miejsce parkingowe,pierwotny,2021,brak,nie,gazowe
26,Mieszkanie w inwestycji Gdynia ul. Mała 19AM2,"ul. Mała, Gdynia, pomorskie",Zapytaj o cenę,,"158,79",5,"Piętro
1",balkon,garaż/miejsce parkingowe,pierwotny,2021,brak,nie,gazowe
27,Czteropokojowe mieszkanie Gdynia Redłowo,"Gdynia, Redłowo, Dywizji Kościuszkowskiej",1 175 658 zł,14 100 zł/m²,"83,38",4,"Piętro
parter/2",balkon,garaż/miejsce parkingowe,pierwotny,2022,apartamentowiec,tak,inne
28,Stylowe mieszkanie na Świętojańskiej,"Gdynia, Śródmieście",1 060 000 zł,14 305 zł/m²,"74,1",3,"Piętro
4/5",balkon,zapytaj,wtórny,1926,kamienica,nie,miejskie
29,Czteropokojowy apartament Gdynia Orłowo,"Gdynia, Orłowo, Wrocławska",999 271 zł,13 900 zł/m²,"71,89",4,"Piętro
1/3",balkon,garaż/miejsce parkingowe,pierwotny,2021,apartamentowiec,tak,zapytaj
30,BEZPOŚREDNIO Apartament 101m2 z ogrodami 100m2,"Gdynia, Chwarzno-Wiczlino, ul. Franciszka Sokoła 25",1 199 000 zł,11 860 zł/m²,"101,1",4,"Piętro
parter/3","ogródek, taras",zapytaj,wtórny,2000,apartamentowiec,nie,kotłownia
31,Czteropokojowe mieszkanie Gdynia Redłowo,"Gdynia, Redłowo, Dywizji Kościuszkowskiej",885 385 zł,11 500 zł/m²,"76,99",4,"Piętro
suterena/2","balkon, ogródek",garaż/miejsce parkingowe,pierwotny,2022,apartamentowiec,tak,inne
32,Mieszkanie 4 pokojowe blisko centrum,"Gdynia, Witomino, Małokacka",745 000 zł,11 594 zł/m²,"64,26",4,"Piętro
3/3",balkon,garaż/miejsce parkingowe,pierwotny,2021,apartamentowiec,tak,gazowe
33,Dwupoziomowe mieszkanie 149 M Benisławskiego,"Gdynia, Pogórze, Benisławskiego",680 000 zł,4 564 zł/m²,149,4,"Piętro
2/3",balkon,garaż/miejsce parkingowe,wtórny,1993,kamienica,nie,gazowe
34,"Mieszkanie w Gdyni, niska zabudowa","Śląska, Gdynia, pomorskie",620 000 zł,9 147 zł/m²,"67,78",3,"Piętro
2/4",zapytaj,garaż/miejsce parkingowe,wtórny,1959,blok,nie,miejskie
35,Mieszkanie z widokiem na Zatokę Gdynia Obłuże,"Gdynia, Obłuże, płk. Stanisława Dąbka",599 000 zł,8 437 zł/m²,71,3,"Piętro
9/9",balkon,zapytaj,wtórny,1970,blok,tak,miejskie
36,Klimatyczne 2 pokoje Fort Forest,"Gdynia, Chwarzno-Wiczlino, Władysława Kańskiego",549 000 zł,12 200 zł/m²,45,2,"Piętro
parter/3",balkon,zapytaj,wtórny,2009,apartamentowiec,tak,miejskie
37,2 pokojowe z kominkiem,"Gdynia, Działki Leśne, Warszawska",340 000 zł,9 977 zł/m²,"34,08",2,"Piętro
suterena/3",zapytaj,zapytaj,wtórny,1930,blok,nie,elektryczne
38,Urządzone 3-pokojowe mieszkanie-Chwarzno Wiczlino,"Gdynia, Chwarzno-Wiczlino, Wiczlino",659 000 zł,10 605 zł/m²,"62,14",3,"Piętro
2/3",zapytaj,zapytaj,wtórny,2014,brak,tak,zapytaj
39,Nowy apartament na prestiżowym osiedlu Fort Forest,"Gdynia, Chwarzno-Wiczlino, Niemena 3",867 000 zł,13 762 zł/m²,63,3,"Piętro
1/3",balkon,garaż/miejsce parkingowe,wtórny,2021,apartamentowiec,tak,miejskie
40,*OKAZJA* 2pokoje kuchnia po remoncie Witomino!*,"Gdynia, Witomino, Witomino-Leśniczówka, ul. Wielkokacka",469 000 zł,11 552 zł/m²,"40,6",2,"Piętro
2/10",balkon,zapytaj,wtórny,1977,blok,tak,miejskie
41,Apartament nad morzem w Gdyni Orłowie,"Gdynia, Orłowo, Króla Jana III",5 000 000 zł,23 148 zł/m²,216,4,"Piętro
3/3","balkon, ogródek, taras",garaż/miejsce parkingowe,wtórny,2008,dom,nie,miejskie
42,Wyjątkowy apartament z tarasem na dachu,"Gdynia, Orłowo, Bernadowska",3 499 000 zł,30 287 zł/m²,"115,53",4,"Piętro
2/2","balkon, taras",garaż/miejsce parkingowe,wtórny,2019,apartamentowiec,tak,miejskie
43,Luksusowy apartament 3 pokoje Nowe Orłowo,"Gdynia, Orłowo, Józefa Kiedronia",2 395 000 zł,35 020 zł/m²,"68,39",3,"Piętro
2/3",balkon,garaż/miejsce parkingowe,wtórny,2017,apartamentowiec,tak,miejskie
44,Nietuzinkowy apartament Gdynia Kamienna Góra,"Gdynia, Kamienna Góra, Partyzantów",2 195 000 zł,25 000 zł/m²,"87,8",4,"Piętro
1/2","balkon, taras",garaż/miejsce parkingowe,wtórny,2020,apartamentowiec,tak,miejskie
45,"Elegancki Apartament ""Bank Polski 1929""","Gdynia, Śródmieście, 10 Lutego",1 808 000 zł,26 969 zł/m²,"67,04",3,"Piętro
3/5",balkon,garaż/miejsce parkingowe,wtórny,2020,apartamentowiec,tak,miejskie
46,3 pokojowe mieszkanie blisko morza Oksywie,"Gdynia, Oksywie, Afrykańska",620 000 zł,10 333 zł/m²,60,3,"Piętro
parter/2","balkon, ogródek",zapytaj,wtórny,1972,dom,nie,elektryczne
47,3- pokojowe mieszkanie Kamienna Góra,"Gdynia, Kamienna Góra, Henryka Sienkiewicza",1 600 000 zł,19 446 zł/m²,"82,28",3,"Piętro
parter/2","ogródek, taras",garaż/miejsce parkingowe,wtórny,2014,apartamentowiec,tak,gazowe
