,address,price,price_m2,area_m2,rooms,floor,parking,market,build_yr,building_type,elevator,heating_type,max_floor,balcony,backyard,terrace,building_age,district,street,log_price,log_price_m2,log_area_m2
37,"Gdynia, Chwarzno-Wiczlino, Niemena 3",867000.0,13762.0,63.0,3.0,1.0,1,wtórny,2021.0,apartamentowiec,1.0,miejskie,3.0,1,0,0,1.0,Chwarzno-Wiczlino,,5.93801909747621,4.138681553510374,1.7993405494535817
38,"Gdynia, Witomino, Witomino-Leśniczówka, ul. Wielkokacka",469000.0,11552.0,40.6,2.0,2.0,0,wtórny,1977.0,blok,1.0,miejskie,10.0,1,0,0,45.0,Witomino,,5.671172842715083,4.062657180225564,1.608526033577194
39,"Gdynia, Orłowo, Króla Jana III",5000000.0,23148.0,216.0,4.0,3.0,1,wtórny,2008.0,dom,0.0,miejskie,3.0,1,1,1,14.0,Orłowo,,6.698970004336019,4.36451347369151,2.3344537511509307
40,"Gdynia, Orłowo, Bernadowska",3499000.0,30287.0,115.53,4.0,2.0,1,wtórny,2019.0,apartamentowiec,1.0,miejskie,2.0,1,0,1,3.0,Orłowo,,6.5439439424829065,4.481256257553046,2.0626947733423937
41,"Gdynia, Orłowo, Józefa Kiedronia",2395000.0,35020.0,68.39,3.0,2.0,1,wtórny,2017.0,apartamentowiec,1.0,miejskie,3.0,1,0,0,5.0,Orłowo,,6.379305517750582,4.544316141747427,1.83499260373303
42,"Gdynia, Kamienna Góra, Partyzantów",2195000.0,25000.0,87.8,4.0,1.0,1,wtórny,2020.0,apartamentowiec,1.0,miejskie,2.0,1,0,1,2.0,Kamienna Góra,,6.3414345245781405,4.3979400086720375,1.9434945159061026
43,"Gdynia, Śródmieście, 10 Lutego",1808000.0,26969.0,67.04,3.0,3.0,1,wtórny,2020.0,apartamentowiec,1.0,miejskie,5.0,1,0,0,2.0,Śródmieście,,6.257198426139344,4.430864843281459,1.8263340056222201
44,"Gdynia, Oksywie, Afrykańska",620000.0,10333.0,60.0,3.0,0.0,0,wtórny,1972.0,dom,0.0,elektryczne,2.0,1,1,0,50.0,Oksywie,,5.7923916894982534,4.01422642938923,1.7781512503836436
45,"Gdynia, Kamienna Góra, Henryka Sienkiewicza",1600000.0,19446.0,82.28,3.0,0.0,1,wtórny,2014.0,apartamentowiec,1.0,gazowe,2.0,0,1,1,8.0,Kamienna Góra,,6.204119982655925,4.288830281415853,1.9152942830226865
46,"Gdynia, Śródmieście, Kazimierza Pułaskiego",1599000.0,16656.0,96.0,5.0,0.0,0,wtórny,1950.0,kamienica,0.0,gazowe,3.0,0,1,0,72.0,Śródmieście,,6.203848463746235,4.221570712166461,1.9822712330395684
47,"Gdynia, Orłowo, Bernadowska",1545000.0,27540.0,56.1,2.0,0.0,1,wtórny,2021.0,apartamentowiec,1.0,miejskie,2.0,0,1,1,1.0,Orłowo,,6.188928483760853,4.439963935920905,1.7489628612561614
48,"Gdynia, Śródmieście, Stefana Żeromskiego",1400000.0,14840.0,94.34,3.0,4.0,1,wtórny,2020.0,apartamentowiec,1.0,miejskie,5.0,0,0,0,2.0,Śródmieście,,6.146128035678238,4.171433900943009,1.974695871909683
49,"Gdynia, Działki Leśne, Wolności",1399000.0,17208.0,81.3,3.0,1.0,1,pierwotny,2021.0,apartamentowiec,1.0,,2.0,1,0,0,1.0,Działki Leśne,,6.145817714491828,4.235730397379406,1.9100905455940682
50,"Gdynia, Orłowo, Wrocławska",1330931.0,13300.0,100.07,3.0,2.0,1,pierwotny,2021.0,apartamentowiec,1.0,,3.0,1,0,0,1.0,Orłowo,,6.124155540751898,4.123851640967086,2.0003038997848126
51,"Gdynia, Orłowo, Józefa Kiedronia",1290000.0,33947.0,38.0,1.0,0.0,1,wtórny,2017.0,apartamentowiec,1.0,miejskie,2.0,0,1,1,5.0,Orłowo,,6.110589710299249,4.530801400383416,1.5797835966168101
52,"Gdynia, Redłowo",1130000.0,14675.0,77.0,3.0,1.0,1,wtórny,1995.0,blok,0.0,miejskie,4.0,1,0,0,27.0,Redłowo,,6.05307844348342,4.166578109919652,1.8864907251724818
53,"Gdynia, Mały Kack, Strzelców",990000.0,14350.0,68.99,3.0,4.0,1,wtórny,2013.0,apartamentowiec,1.0,miejskie,6.0,1,0,0,9.0,Mały Kack,,5.99563519459755,4.156851901070011,1.8387861449465945
54,"Gdynia, Mały Kack, Strzelców",990000.0,14776.0,67.0,3.0,5.0,1,wtórny,2012.0,apartamentowiec,1.0,miejskie,6.0,1,0,1,10.0,Mały Kack,,5.99563519459755,4.169556882432185,1.8260748027008264
55,"Gdynia, Chwarzno-Wiczlino, Czesława Niemena",879000.0,12926.0,68.0,3.0,1.0,1,wtórny,2020.0,apartamentowiec,1.0,miejskie,4.0,1,0,0,2.0,Chwarzno-Wiczlino,,5.943988875073772,4.111464151586654,1.8325089127062364
56,"Gdynia, Chwarzno-Wiczlino, Czesława Niemena",869000.0,13794.0,63.0,3.0,1.0,1,wtórny,2021.0,apartamentowiec,1.0,miejskie,4.0,1,0,0,1.0,Chwarzno-Wiczlino,,5.939019776448666,4.1396902216529226,1.7993405494535817
57,"Gdynia, Witomino, Małokacka",735000.0,11099.0,66.22,4.0,1.0,1,pierwotny,2021.0,apartamentowiec,1.0,gazowe,3.0,1,0,1,1.0,Witomino,,5.866287339084195,4.045283851395135,1.8209891764160495
58,"Gdynia, Chwarzno-Wiczlino, gen. Mariusza Zaruskiego",724900.0,10983.0,66.0,3.0,0.0,1,wtórny,2011.0,blok,0.0,miejskie,3.0,1,0,0,11.0,Chwarzno-Wiczlino,,5.860278099752235,4.040720983601194,1.8195439355418688
59,"Gdynia, Cisowa, Zbożowa",608000.0,9806.0,62.0,4.0,10.0,0,wtórny,,blok,1.0,miejskie,11.0,0,0,0,,Cisowa,,5.783903579272735,3.9914918889101596,1.792391689498254
60,"Gdynia, Chwarzno-Wiczlino, Chwarzno, Chwarznieńska",650000.0,9441.0,68.85,3.0,3.0,1,wtórny,2021.0,apartamentowiec,1.0,miejskie,3.0,0,0,0,1.0,Chwarzno-Wiczlino,,5.812913356642856,3.9750179976328828,1.8379039445929424
61,"Gdynia, Obłuże, płk. Stanisława Dąbka",499000.0,9415.0,53.0,3.0,3.0,0,wtórny,,blok,0.0,miejskie,4.0,0,0,0,,Obłuże,,5.69810054562339,3.9738203243526837,1.724275869600789
62,"Gdynia, Oksywie",480122.0,8002.0,60.0,3.0,2.0,1,pierwotny,2022.0,blok,1.0,miejskie,3.0,1,0,0,0.0,Oksywie,,5.681351606530918,3.903198547042978,1.7781512503836436
63,"Gdynia, Śródmieście, Świętojańska",525000.0,15813.0,33.2,2.0,3.0,0,wtórny,1950.0,kamienica,0.0,miejskie,4.0,0,0,0,72.0,Śródmieście,,5.720159303405957,4.19901427093462,1.5211380837040362
