,index,address,price,price_m2,area_m2,rooms,floor,parking,market,build_yr,building_type,elevator,heating_type,max_floor,balcony,backyard,terrace,building_age,district,street
47,49,"Gdynia, Orłowo, Bernadowska",1545000.0,27540.0,56.1,2.0,0.0,1,wtórny,2021.0,apartamentowiec,1.0,miejskie,2.0,0,1,1,1.0,Orłowo,
48,50,"Gdynia, Śródmieście, Stefana Żeromskiego",1400000.0,14840.0,94.34,3.0,4.0,1,wtórny,2020.0,apartamentowiec,1.0,miejskie,5.0,0,0,0,2.0,Śródmieście,
49,51,"Gdynia, Działki Leśne, Wolności",1399000.0,17208.0,81.3,3.0,1.0,1,pierwotny,2021.0,apartamentowiec,1.0,,2.0,1,0,0,1.0,Działki Leśne,
50,52,"Gdynia, Orłowo, Wrocławska",1330931.0,13300.0,100.07,3.0,2.0,1,pierwotny,2021.0,apartamentowiec,1.0,,3.0,1,0,0,1.0,Orłowo,
51,53,"Gdynia, Orłowo, Józefa Kiedronia",1290000.0,33947.0,38.0,1.0,0.0,1,wtórny,2017.0,apartamentowiec,1.0,miejskie,2.0,0,1,1,5.0,Orłowo,
52,54,"Gdynia, Redłowo",1130000.0,14675.0,77.0,3.0,1.0,1,wtórny,1995.0,blok,0.0,miejskie,4.0,1,0,0,27.0,Redłowo,
53,55,"Gdynia, Mały Kack, Strzelców",990000.0,14350.0,68.99,3.0,4.0,1,wtórny,2013.0,apartamentowiec,1.0,miejskie,6.0,1,0,0,9.0,Mały Kack,
54,56,"Gdynia, Mały Kack, Strzelców",990000.0,14776.0,67.0,3.0,5.0,1,wtórny,2012.0,apartamentowiec,1.0,miejskie,6.0,1,0,1,10.0,Mały Kack,
55,57,"Gdynia, Chwarzno-Wiczlino, Czesława Niemena",879000.0,12926.0,68.0,3.0,1.0,1,wtórny,2020.0,apartamentowiec,1.0,miejskie,4.0,1,0,0,2.0,Chwarzno-Wiczlino,
56,58,"Gdynia, Chwarzno-Wiczlino, Czesława Niemena",869000.0,13794.0,63.0,3.0,1.0,1,wtórny,2021.0,apartamentowiec,1.0,miejskie,4.0,1,0,0,1.0,Chwarzno-Wiczlino,
57,59,"Gdynia, Witomino, Małokacka",735000.0,11099.0,66.22,4.0,1.0,1,pierwotny,2021.0,apartamentowiec,1.0,gazowe,3.0,1,0,1,1.0,Witomino,
58,60,"Gdynia, Chwarzno-Wiczlino, gen. Mariusza Zaruskiego",724900.0,10983.0,66.0,3.0,0.0,1,wtórny,2011.0,blok,0.0,miejskie,3.0,1,0,0,11.0,Chwarzno-Wiczlino,
59,61,"Gdynia, Cisowa, Zbożowa",608000.0,9806.0,62.0,4.0,10.0,0,wtórny,,blok,1.0,miejskie,11.0,0,0,0,,Cisowa,
60,62,"Gdynia, Chwarzno-Wiczlino, Chwarzno, Chwarznieńska",650000.0,9441.0,68.85,3.0,3.0,1,wtórny,2021.0,apartamentowiec,1.0,miejskie,3.0,0,0,0,1.0,Chwarzno-Wiczlino,
61,63,"Gdynia, Obłuże, płk. Stanisława Dąbka",499000.0,9415.0,53.0,3.0,3.0,0,wtórny,,blok,0.0,miejskie,4.0,0,0,0,,Obłuże,
62,64,"Gdynia, Oksywie",480122.0,8002.0,60.0,3.0,2.0,1,pierwotny,2022.0,blok,1.0,miejskie,3.0,1,0,0,0.0,Oksywie,
